name,specialty,location,hospital,cost,insurance,available_slots
Dr. Rajesh Kumar,Cardiologist,Pune,Ruby Hall,1500,"Star Health,ICICI Lombard","Monday 9:00 AM,Monday 2:00 PM,Tuesday 10:00 AM"
Dr. Priya Sharma,Pediatrician,Pune,Apollo,1200,"HDFC Ergo,Star Health","Monday 11:00 AM,Tuesday 9:00 AM,Wednesday 3:00 PM"
Dr. Amit Patel,Neurologist,Mumbai,Lilavati,2000,"ICICI Lombard","Monday 2:00 PM,Tuesday 11:00 AM,Wednesday 10:00 AM"
Dr. Sneha Reddy,Dermatologist,Mumbai,Sahyadri,1800,"HDFC Ergo","Monday 10:00 AM,Tuesday 2:00 PM,Wednesday 9:00 AM"
Dr. Vikram Singh,Orthopedist,Nashik,Ruby Hall,1400,"Star Health","Monday 3:00 PM,Tuesday 9:00 AM,Wednesday 2:00 PM"
Dr. Meera Joshi,Psychiatrist,Nashik,Apollo,1600,"ICICI Lombard,HDFC Ergo","Monday 9:00 AM,Tuesday 3:00 PM,Wednesday 11:00 AM"
Dr. Arjun Desai,Gastroenterologist,Nagpur,Lilavati,1700,"Star Health","Monday 11:00 AM,Tuesday 10:00 AM,Wednesday 3:00 PM"
Dr. Kavita Verma,Endocrinologist,Nagpur,Sahyadri,1900,"HDFC Ergo","Monday 2:00 PM,Tuesday 9:00 AM,Wednesday 10:00 AM"
Dr. Sanjay Gupta,Cardiologist,Pune,Apollo,1600,"ICICI Lombard","Monday 10:00 AM,Tuesday 2:00 PM,Wednesday 9:00 AM"
Dr. Anjali Mehta,Pediatrician,Mumbai,Ruby Hall,1300,"Star Health","Monday 3:00 PM,Tuesday 11:00 AM,Wednesday 2:00 PM"
Dr. Rahul Sharma,Neurologist,Nashik,Lilavati,2100,"HDFC Ergo","Monday 9:00 AM,Tuesday 3:00 PM,Wednesday 11:00 AM"
Dr. Deepika Singh,Dermatologist,Nagpur,Apollo,1500,"ICICI Lombard","Monday 11:00 AM,Tuesday 9:00 AM,Wednesday 3:00 PM"
Dr. Mohan Kumar,Orthopedist,Pune,Sahyadri,1400,"Star Health,HDFC Ergo","Monday 2:00 PM,Tuesday 10:00 AM,Wednesday 9:00 AM"
Dr. Sunita Patel,Psychiatrist,Mumbai,Ruby Hall,1700,"ICICI Lombard","Monday 10:00 AM,Tuesday 2:00 PM,Wednesday 11:00 AM"
Dr. Ramesh Iyer,Gastroenterologist,Nashik,Apollo,1600,"HDFC Ergo","Monday 3:00 PM,Tuesday 9:00 AM,Wednesday 2:00 PM"
Dr. Lakshmi Devi,Endocrinologist,Pune,Lilavati,1800,"Star Health","Monday 9:00 AM,Tuesday 3:00 PM,Wednesday 10:00 AM"
Dr. Karthik Rao,Cardiologist,Mumbai,Sahyadri,1900,"ICICI Lombard,HDFC Ergo","Monday 11:00 AM,Tuesday 9:00 AM,Wednesday 3:00 PM"
Dr. Nisha Reddy,Pediatrician,Nagpur,Ruby Hall,1200,"Star Health","Monday 2:00 PM,Tuesday 11:00 AM,Wednesday 9:00 AM"
Dr. Harish Kumar,Neurologist,Pune,Apollo,2000,"HDFC Ergo","Monday 10:00 AM,Tuesday 2:00 PM,Wednesday 11:00 AM"
Dr. Priyanka Sharma,Dermatologist,Nashik,Lilavati,1600,"ICICI Lombard","Monday 3:00 PM,Tuesday 9:00 AM,Wednesday 2:00 PM"
Dr. Deepak Sharma,General Physician,Pune,Ruby Hall,800,"Star Health,ICICI Lombard,HDFC Ergo","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Pradeep Kumar,General Physician,Pune,Ruby Hall,700,"Star Health,ICICI Lombard,HDFC Ergo","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Vijay Malhotra,General Physician,Pune,Ruby Hall,800,"Star Health,ICICI Lombard,HDFC Ergo","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Amit Patel,General Physician,Nashik,Apollo,800,"HDFC Ergo,Star Health","Monday 9:00 AM,Monday 1:00 PM,Tuesday 11:00 AM,Tuesday 4:00 PM"
Dr. Harish Joshi,General Physician,Nashik,Apollo,1100,"ICICI Lombard,Star Health","Monday 8:00 AM,Monday 2:00 PM,Tuesday 8:00 AM,Tuesday 2:00 PM"
Dr. Suresh Iyer,Psychiatrist,Pune,Ruby Hall,1600,"Star Health,ICICI Lombard,HDFC Ergo","Monday 9:30 AM,Monday 3:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM"
Dr. Meenakshi Reddy,Endocrinologist,Mumbai,Lilavati,1800,"Star Health,HDFC Ergo","Monday 10:30 AM,Monday 4:30 PM,Tuesday 11:30 AM,Tuesday 3:30 PM"
Dr. Kalpana Gupta,Oncologist,Nagpur,Sahyadri,2300,"HDFC Ergo,ICICI Lombard","Monday 1:00 PM,Monday 5:00 PM,Tuesday 12:00 PM,Tuesday 4:00 PM"
Dr. Nitin Sharma,Neurologist,Pune,Ruby Hall,1000,"Star Health,ICICI Lombard,HDFC Ergo","Monday 11:30 AM,Monday 5:30 PM,Tuesday 12:30 PM,Tuesday 4:30 PM"
Dr. Priyanka Singh,Pediatrician,Mumbai,Lilavati,1300,"Star Health,HDFC Ergo","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Ravi Kumar,Cardiologist,Nashik,Apollo,1900,"ICICI Lombard,Star Health","Monday 12:30 PM,Monday 4:30 PM,Tuesday 10:30 AM,Tuesday 4:30 PM"
Dr. Asha Patel,Dermatologist,Nagpur,Sahyadri,1500,"HDFC Ergo,ICICI Lombard","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Geeta Sharma,Orthopedist,Mumbai,Lilavati,1700,"Star Health,HDFC Ergo","Monday 11:00 AM,Monday 5:00 PM,Tuesday 12:00 PM,Tuesday 4:00 PM"
Dr. Rajiv Malhotra,Orthopedist,Nashik,Apollo,2000,"ICICI Lombard,Star Health","Monday 11:00 AM,Monday 5:00 PM,Tuesday 11:00 AM,Tuesday 5:00 PM"
Dr. Anuradha Deshmukh,Gynecologist,Nagpur,Sahyadri,1400,"HDFC Ergo,ICICI Lombard","Monday 12:00 PM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Shweta Agarwal,Dermatologist,Mumbai,Lilavati,1500,"Star Health,HDFC Ergo","Monday 8:30 AM,Monday 2:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM"
Dr. Rekha Singh,Cardiologist,Nagpur,Sahyadri,2100,"HDFC Ergo,ICICI Lombard","Monday 1:30 PM,Monday 5:30 PM,Tuesday 11:30 AM,Tuesday 5:30 PM"
Dr. Manoj Tiwari,Pediatrician,Nashik,Apollo,1200,"ICICI Lombard,Star Health","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Neha Patel,Neurologist,Mumbai,Lilavati,1700,"Star Health,HDFC Ergo","Monday 11:00 AM,Monday 5:00 PM,Tuesday 12:00 PM,Tuesday 4:00 PM"
Dr. Sunita Rao,Oncologist,Nagpur,Sahyadri,1900,"HDFC Ergo,ICICI Lombard","Monday 12:30 PM,Monday 4:30 PM,Tuesday 10:30 AM,Tuesday 4:30 PM"
Dr. Ramesh Kumar,Endocrinologist,Nashik,Apollo,1300,"ICICI Lombard,Star Health","Monday 10:00 AM,Monday 4:00 PM,Tuesday 11:00 AM,Tuesday 3:00 PM"
Dr. Anjali Verma,Psychiatrist,Mumbai,Lilavati,1100,"Star Health,HDFC Ergo","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Arjun Reddy,Orthopedist,Nashik,Apollo,1400,"ICICI Lombard,Star Health","Monday 9:30 AM,Monday 2:30 PM,Tuesday 9:30 AM,Tuesday 2:30 PM"
Dr. Kavita Joshi,Gynecologist,Nagpur,Sahyadri,1600,"HDFC Ergo,ICICI Lombard","Monday 11:30 AM,Monday 3:30 PM,Tuesday 10:30 AM,Tuesday 2:30 PM"
Dr. Meera Iyer,Dermatologist,Mumbai,Lilavati,1800,"Star Health,HDFC Ergo","Monday 10:30 AM,Monday 4:30 PM,Tuesday 11:30 AM,Tuesday 3:30 PM"
Dr. Sanjay Gupta,Cardiologist,Pune,Apollo,1600,"ICICI Lombard","Monday 10:00 AM,Tuesday 2:00 PM,Wednesday 9:00 AM"
Dr. Vikram Singh,Orthopedist,Nashik,Ruby Hall,1400,"Star Health","Monday 3:00 PM,Tuesday 9:00 AM,Wednesday 2:00 PM"
Dr. Rajesh Malhotra,Gastroenterologist,Pune,Ruby Hall,1600,"Star Health,ICICI Lombard,HDFC Ergo","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Priya Desai,Gastroenterologist,Pune,Apollo,1700,"HDFC Ergo,Star Health","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Amit Sharma,Gastroenterologist,Mumbai,Ruby Hall,1800,"Star Health,ICICI Lombard","Monday 11:00 AM,Monday 5:00 PM,Tuesday 11:00 AM,Tuesday 5:00 PM"
Dr. Sneha Kumar,Gastroenterologist,Mumbai,Apollo,1900,"HDFC Ergo,ICICI Lombard","Monday 8:00 AM,Monday 2:00 PM,Tuesday 8:00 AM,Tuesday 2:00 PM"
Dr. Vikas Patel,Gastroenterologist,Nashik,Ruby Hall,1500,"Star Health,HDFC Ergo","Monday 9:30 AM,Monday 3:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM"
Dr. Meera Reddy,Gastroenterologist,Nashik,Apollo,1600,"ICICI Lombard,Star Health","Monday 10:30 AM,Monday 4:30 PM,Tuesday 10:30 AM,Tuesday 4:30 PM"
Dr. Rajiv Sharma,Gastroenterologist,Nagpur,Ruby Hall,1700,"Star Health,ICICI Lombard","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Anjali Kumar,Gastroenterologist,Nagpur,Apollo,1800,"HDFC Ergo,Star Health","Monday 11:30 AM,Monday 5:30 PM,Tuesday 11:30 AM,Tuesday 5:30 PM"
Dr. Deepak Patel,General Physician,Mumbai,Ruby Hall,900,"Star Health,ICICI Lombard,HDFC Ergo","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Neha Sharma,General Physician,Mumbai,Apollo,1000,"HDFC Ergo,Star Health","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Pradeep Reddy,General Physician,Nagpur,Ruby Hall,800,"Star Health,ICICI Lombard","Monday 8:00 AM,Monday 2:00 PM,Tuesday 8:00 AM,Tuesday 2:00 PM"
Dr. Vijay Kumar,General Physician,Nagpur,Apollo,900,"HDFC Ergo,Star Health","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Sunita Sharma,Cardiologist,Mumbai,Ruby Hall,2000,"Star Health,ICICI Lombard,HDFC Ergo","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Ramesh Patel,Cardiologist,Nagpur,Ruby Hall,2100,"Star Health,ICICI Lombard","Monday 9:30 AM,Monday 3:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM"
Dr. Kavita Sharma,Neurologist,Mumbai,Apollo,2200,"HDFC Ergo,Star Health","Monday 10:30 AM,Monday 4:30 PM,Tuesday 10:30 AM,Tuesday 4:30 PM"
Dr. Manoj Kumar,Neurologist,Nagpur,Apollo,2300,"ICICI Lombard,Star Health","Monday 11:30 AM,Monday 5:30 PM,Tuesday 11:30 AM,Tuesday 5:30 PM"
Dr. Rekha Patel,Dermatologist,Mumbai,Ruby Hall,1600,"Star Health,ICICI Lombard","Monday 8:00 AM,Monday 2:00 PM,Tuesday 8:00 AM,Tuesday 2:00 PM"
Dr. Asha Kumar,Dermatologist,Nagpur,Ruby Hall,1700,"HDFC Ergo,Star Health","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Geeta Patel,Orthopedist,Mumbai,Apollo,1800,"Star Health,ICICI Lombard","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Rajiv Kumar,Orthopedist,Nagpur,Apollo,1900,"HDFC Ergo,Star Health","Monday 11:00 AM,Monday 5:00 PM,Tuesday 11:00 AM,Tuesday 5:00 PM"
Dr. Anuradha Sharma,Psychiatrist,Mumbai,Ruby Hall,1200,"Star Health,ICICI Lombard","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Shweta Patel,Psychiatrist,Nagpur,Ruby Hall,1300,"HDFC Ergo,Star Health","Monday 9:30 AM,Monday 3:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM"
Dr. Rekha Kumar,Endocrinologist,Mumbai,Apollo,2000,"Star Health,ICICI Lombard","Monday 10:30 AM,Monday 4:30 PM,Tuesday 10:30 AM,Tuesday 4:30 PM"
Dr. Asha Sharma,Endocrinologist,Nagpur,Apollo,2100,"HDFC Ergo,Star Health","Monday 11:30 AM,Monday 5:30 PM,Tuesday 11:30 AM,Tuesday 5:30 PM"
Dr. Geeta Kumar,Pediatrician,Mumbai,Ruby Hall,1100,"Star Health,ICICI Lombard","Monday 8:00 AM,Monday 2:00 PM,Tuesday 8:00 AM,Tuesday 2:00 PM"
Dr. Rajiv Patel,Pediatrician,Nagpur,Ruby Hall,1200,"HDFC Ergo,Star Health","Monday 9:00 AM,Monday 3:00 PM,Tuesday 9:00 AM,Tuesday 3:00 PM"
Dr. Anuradha Kumar,Gynecologist,Mumbai,Apollo,1500,"Star Health,ICICI Lombard","Monday 10:00 AM,Monday 4:00 PM,Tuesday 10:00 AM,Tuesday 4:00 PM"
Dr. Shweta Sharma,Gynecologist,Nagpur,Apollo,1600,"HDFC Ergo,Star Health","Monday 11:00 AM,Monday 5:00 PM,Tuesday 11:00 AM,Tuesday 5:00 PM"
Dr. Rekha Reddy,Oncologist,Mumbai,Ruby Hall,2400,"Star Health,ICICI Lombard","Monday 8:30 AM,Monday 2:30 PM,Tuesday 8:30 AM,Tuesday 2:30 PM"
Dr. Asha Kumar,Oncologist,Nagpur,Ruby Hall,2500,"HDFC Ergo,Star Health","Monday 9:30 AM,Monday 3:30 PM,Tuesday 9:30 AM,Tuesday 3:30 PM" 